"domain","Predictor","param1","p1_0","p1_val","param2","p2_0","p2_val","param3","p3_0","p3_val","Fixed_Effect","AIC","BIC","R_squared","Log_Likelihood","N_Observations","R_squared_CI_lower","R_squared_CI_upper"
"foods","multimodaldelta","alpha","0","9","rise","0","5","fall","0","75",0.314410108047325,1248.89865368851,1272.37167075059,0.278168061600972,-620.449326844255,2613,0.264574622474525,0.326405645280705
"foods","multimodaldelta","alpha","0","9","rise","0","5","fall","1","0",0.305628351655281,1312.00154774491,1335.474564807,0.262397523664796,-652.000773872457,2613,0.251432014220851,0.310375650061993
"foods","multimodaldelta","alpha","0","9","rise","0","75","fall","0","0",0.335552061408358,1226.55637137812,1250.0293884402,0.287430975804842,-609.278185689058,2613,0.276133062318989,0.334098863638095
"foods","multimodaldelta","alpha","0","9","rise","0","75","fall","0","25",0.343560961823042,1161.95367752461,1185.4266945867,0.305398752150885,-576.976838762307,2613,0.292993785084968,0.351847553931843
"foods","multimodaldelta","alpha","0","9","rise","0","75","fall","0","5",0.356060760383498,1071.86758301908,1095.34060008117,0.329614703293661,-531.933791509542,2613,0.311162347976202,0.375335585338235
"foods","multimodaldelta","alpha","0","9","rise","0","75","fall","0","75",0.341241846650353,1129.6335432299,1153.10656029198,0.318238084554306,-560.816771614948,2613,0.302925978969457,0.364696547390487
"foods","multimodaldelta","alpha","0","9","rise","0","75","fall","1","0",0.333011554074701,1175.6793241747,1199.15234123678,0.307971232112883,-583.839662087349,2613,0.295798951305645,0.357837296402844
"foods","multimodaldelta","alpha","0","9","rise","1","0","fall","0","0",0.349847057484833,1250.82821214584,1274.30122920792,0.28105685077868,-621.414106072919,2613,0.27117560760539,0.328623227117072
"foods","multimodaldelta","alpha","0","9","rise","1","0","fall","0","25",0.355236708217746,1191.31432791961,1214.7873449817,0.298529382982605,-591.657163959807,2613,0.286029526206297,0.348078901799025
"foods","multimodaldelta","alpha","0","9","rise","1","0","fall","0","5",0.358403868349249,1131.56517802084,1155.03819508292,0.314906962656892,-561.782589010421,2613,0.297425633146068,0.363359760246554
"foods","multimodaldelta","alpha","0","9","rise","1","0","fall","0","75",0.340505331771525,1173.5733352969,1197.04635235898,0.309237954998038,-582.786667648451,2613,0.296284758105914,0.358848996279696
"foods","multimodaldelta","alpha","0","9","rise","1","0","fall","1","0",0.328796754461993,1207.3560255764,1230.82904263848,0.306504391157834,-599.678012788199,2613,0.289935147147262,0.352393969305755
"foods","multimodaldelta","alpha","1","0","rise","0","0","fall","0","0",0.264021869814538,1434.80369917454,1458.27671623662,0.222023903642073,-713.401849587269,2613,0.211909359846161,0.270257621205278
